mLL,ptLL,etmiss,mtw,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
100.779,40.9629,35.0478,67.2502,58.6668,0.00563823,58.6677,-2.33585,1,11,43.7502,0.714627,55.4052,1.57781,-1,11,32.2764,0.352846,34.3066,-0.263145,1,11,0.653546
91.2923,46.096,49.9347,124.716,83.1729,0.102488,83.6101,-0.842419,1,11,63.8894,0.0689658,64.0414,-1.79922,-1,11,34.9967,-0.476012,39.037,0.563229,1,11,1.2115
84.0544,85.312,45.5082,43.3443,59.4996,-1.01806,93.0905,-0.0692936,1,11,48.0612,-1.96696,175.155,1.24914,-1,11,33.4841,-1.42302,73.5081,2.79042,1,13,0.83777
82.4173,139.575,57.5697,36.4916,120.469,-1.25546,228.553,-2.7761,-1,11,29.3771,-1.47629,67.6434,1.29805,1,13,20.3428,0.226865,20.8685,3.12872,1,11,1.13673
86.0033,98.5494,72.7125,45.5148,89.2318,1.66471,244.199,1.07489,-1,13,42.3968,-2.10973,177.374,-1.44736,1,13,26.8023,0.49763,30.1902,2.42837,1,13,0.885281
