mLL,ptLL,etmiss,mtw,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
90.6059,66.0127,112.538,101.974,87.7019,-1.2465,165.128,2.93397,-1,13,39.5019,1.25161,74.6985,-1.02215,1,11,23.4362,-1.5688,58.6983,0.126693,1,13,1.06182
96.2228,64.4783,75.7965,70.1672,89.0643,0.255448,91.9861,0.125588,-1,11,25.2374,0.648301,30.7293,-2.82289,1,11,22.1426,1.83836,71.3578,-0.673331,1,13,0.694947
96.3323,77.2381,77.4958,53.5102,91.1294,-1.02283,143.102,1.47559,-1,11,31.9911,-1.19535,57.7008,-0.70984,1,11,22.9552,0.862742,32.0414,-3.03795,1,11,1.06665
86.6323,104.836,58.7142,41.4279,112.292,0.192024,114.369,-2.26357,-1,13,30.3089,-2.45908,178.512,0.817243,1,13,23.3337,-0.00432437,23.3342,2.02326,1,13,1.06905
101.177,14.5225,113.568,34.218,53.887,2.295,270.114,-2.01285,-1,13,39.9621,1.44789,89.6984,1.03986,1,13,23.0688,2.38288,126.051,-1.17255,-1,11,0.645892
98.9648,20.9189,60.3886,122.536,62.5785,1.08968,103.556,-0.451158,-1,11,42.0707,0.0868498,42.2295,-0.535585,1,11,26.3362,-1.83964,84.9756,2.18886,-1,11,1.03793
85.3811,20.1589,41.5899,75.0769,53.7824,0.635011,64.9952,-2.17995,-1,11,34.6323,1.36367,72.1435,-2.2945,-1,13,33.6335,0.808824,45.248,0.976635,1,11,0
92.698,127.142,86.522,85.8576,89.8952,-0.0582036,90.0476,1.75577,1,11,59.296,-0.730304,75.824,0.627766,-1,11,29.353,-0.855945,40.7785,2.47169,1,13,0
89.0834,114.907,50.3678,62.788,90.8261,-0.43402,99.5158,2.65086,1,11,28.0507,1.07667,45.9415,2.03775,-1,11,22.2206,0.073368,22.2807,0.730559,1,13,1.18285
92.1284,35.5341,69.7296,82.3088,55.5624,0.742388,71.59,1.17296,-1,11,51.8173,1.89903,176.934,-1.50731,1,11,31.4307,0.66329,38.6019,2.37208,-1,11,0.982534
92.9337,46.0059,38.6286,40.8121,74.6527,-0.773908,98.1471,0.515831,1,13,28.8698,-0.903527,41.4779,-2.72326,-1,13,23.075,-0.506707,26.1013,1.62151,-1,11,0.463026
84.0888,58.2868,37.4341,58.8793,55.5431,0.121334,55.9526,1.38977,1,13,37.0984,-0.802149,49.6877,-3.06148,-1,13,27.6973,-1.60839,71.9439,-0.0233791,1,13,1.12398
96.0803,77.1918,60.2162,70.079,62.7385,-2.28117,310.25,-2.56252,1,13,47.6738,-1.31754,95.3956,-0.949861,-1,13,22.8329,-0.603025,27.1117,-3.09656,-1,11,1.66184
82.0296,24.1922,63.4541,42.3565,53.9149,1.00217,83.3326,-2.33296,-1,11,50.2873,0.673036,62.1132,-0.846858,1,11,30.7143,0.700321,38.5591,0.639972,1,11,1.0897
85.71,52.4698,81.2875,80.7178,63.7495,0.49779,71.8124,1.7489,-1,11,34.7196,0.921384,50.5297,-2.35887,1,11,25.7026,1.05041,41.235,3.05513,-1,11,0.312971
85.4034,68.0785,80.8152,50.0253,61.7326,-1.32441,124.265,-0.473287,-1,11,38.1831,-2.2042,175.134,1.23244,1,11,36.2802,-2.16922,160.826,-2.8877,1,13,1.13698
101.067,111.925,63.3819,69.6726,105.994,1.8474,344.531,0.379562,1,11,27.0209,0.601805,32.0634,-1.09292,-1,11,20.6224,1.19285,37.1186,1.84846,-1,13,1.23612
93.6171,92.6815,86.9472,94.929,66.499,0.25172,68.617,0.270599,-1,11,53.3661,-0.636168,64.5341,1.65436,1,11,26.954,1.69592,75.9437,-0.521318,1,11,1.17456
93.7364,81.4227,65.994,78.7924,95.628,0.0689227,95.8553,1.00844,1,11,33.5612,1.77443,101.799,2.7304,-1,11,20.8014,-0.863952,29.0597,-2.86948,-1,11,1.06259
94.7069,52.1386,43.717,85.8645,76.31,1.12453,129.863,2.46298,1,13,44.1321,-1.36951,92.4049,1.93239,-1,11,24.1715,2.02283,92.9633,-0.680666,-1,13,1.10872
98.3748,204.947,83.929,163.66,198.717,0.154977,201.108,-1.25574,1,11,87.169,0.634958,105.339,2.40717,-1,13,21.1258,-0.711029,26.6948,0.0661092,-1,11,1.12437
98.7886,57.6375,44.7884,48.0403,84.8637,-1.09617,141.163,1.73509,-1,11,35.0992,-1.30385,69.4076,-1.80918,1,13,29.0557,-1.30083,57.3073,-1.11535,1,11,1.41206
90.0376,77.5014,91.3308,124.788,97.9655,2.271,479.656,-2.36528,1,13,42.6701,1.84638,138.563,-0.806768,-1,13,20.4819,2.06754,82.254,0.739344,-1,13,1.13506
83.9299,98.4236,65.1221,96.684,102.619,1.49972,241.34,1.71479,-1,13,36.0784,1.3574,74.7435,-2.92609,1,11,21.7005,0.75974,28.2706,-0.155566,1,13,0.523356
87.7442,55.5515,48.2762,62.3997,76.7633,-1.90529,263.686,2.82332,-1,11,42.6892,-2.06382,170.821,2.21358,1,13,22.0649,-1.14823,38.2807,-0.554479,1,11,0.611752
91.9663,107.773,56.7483,41.3888,113.729,0.80879,152.998,1.62875,1,13,65.0243,1.44579,145.679,-1.9362,-1,13,20.9194,1.68418,58.2986,-2.70546,-1,13,0.813318
83.4511,127.984,47.5914,130.252,117.204,-0.0130193,117.214,-0.0902976,1,11,97.0325,-0.279982,100.861,-1.43243,-1,13,22.3828,-1.16175,39.2646,-1.24052,-1,11,1.60117
84.2192,28.9947,107.881,146.447,58.4277,-0.893163,83.3238,-1.06534,1,13,58.1929,-1.29139,113.847,-1.07986,-1,13,29.5871,-1.65347,80.1289,2.17585,1,13,0.155811
94.5535,105.368,55.8866,42.9636,77.3326,0.57789,90.6089,-0.495861,1,11,59.5582,0.051942,59.6385,0.903119,-1,11,21.8324,-0.262887,22.5912,-1.95254,1,11,0.499292
87.0941,158.734,71.0374,63.9257,156.12,0.663296,191.742,1.61884,-1,11,24.5556,0.852814,34.0396,-3.12225,1,11,22.652,-0.264315,23.4481,0.52861,1,13,1.45448
90.8097,51.9304,99.2875,81.1584,64.439,0.00146111,64.4391,-0.947927,1,11,58.0934,0.196211,59.2154,2.07694,-1,13,29.4873,-1.09452,48.9851,-2.16676,1,13,1.16136
87.7831,47.0155,36.5111,68.443,32.1429,1.56013,79.8683,-0.136424,1,13,29.9188,0.190704,30.4647,2.75688,1,13,27.9337,2.46879,166.105,-2.28133,-1,13,1.21432
99.6559,52.3104,96.9637,59.3708,65.7159,-2.04822,259.021,2.8742,-1,11,45.4878,-1.732,132.571,0.646402,1,11,23.018,-1.01757,35.9995,-2.0156,1,11,1.15647
82.0244,24.3834,40.7746,110.505,91.4094,-1.96404,332.197,-1.77126,-1,13,46.5918,0.135021,47.0172,0.517723,1,11,35.4751,-0.452717,39.1729,3.11897,-1,11,1.14376
93.762,85.5013,51.0562,79.3314,92.17,0.603053,109.444,-0.409978,-1,13,33.3575,0.128586,33.6337,2.80635,1,11,28.7531,-0.12771,28.9881,1.55009,1,13,0.66618
85.1789,94.1762,83.017,150.683,86.4259,0.40284,93.5339,-2.74657,1,13,73.9052,-0.486626,82.8298,0.284286,-1,11,39.2899,0.0970066,39.4751,-1.15457,-1,13,1.23172
91.2779,81.336,117.81,94.6784,66.362,0.260125,68.6199,-0.772011,1,11,26.7562,0.563846,31.1233,1.84186,-1,11,23.0965,2.11233,96.8713,0.219472,-1,11,0.541724
98.2662,103.498,51.6508,87.4106,112.118,-0.0112936,112.125,-1.69821,1,13,78.8716,-1.24581,148.415,0.757457,-1,11,20.6651,-1.05069,33.1607,2.49837,-1,13,0.330745
85.9695,47.2546,80.6359,97.5153,89.6795,1.55262,221.307,-1.61072,1,11,49.6511,-0.472097,55.2878,-0.78055,-1,13,41.4579,0.309505,43.4597,-2.84507,1,13,0.680624
90.6048,35.113,113.755,152.555,53.8686,0.325945,56.7555,-2.70335,1,11,52.2334,-1.4978,122.63,2.94994,-1,13,38.902,-0.295535,40.6132,1.14684,-1,11,0.701635
90.5689,78.6965,81.4259,80.0256,66.0703,1.11842,111.884,2.63113,-1,13,49.9048,0.589104,58.8179,0.959682,1,13,20.6737,0.664081,25.4023,0.428413,1,11,0
90.9598,96.5023,56.1747,62.4518,94.6466,-0.2342,97.2542,-2.66805,1,11,58.1679,-2.11278,244.076,0.714225,-1,13,30.3772,-1.03715,48.2334,-0.998297,-1,11,0.52266
90.689,99.8636,41.6192,111.517,105.941,1.1376,182.211,1.36719,-1,11,80.3085,-0.00578268,80.3099,-2.12499,1,13,22.5791,0.322385,23.7627,-0.580486,1,11,1.176
91.6122,45.2161,73.7497,50.7334,52.0587,-0.895336,74.3562,-2.42322,1,13,38.3951,0.122408,38.6833,-0.287595,-1,13,28.6243,-1.62925,75.7989,-0.0645156,-1,13,1.14749
95.9644,85.5008,38.2976,37.4223,106.726,-1.54821,262.314,1.42027,-1,11,79.3052,-1.7837,242.668,-2.04168,1,13,21.2641,-1.30212,41.9863,-1.77553,1,11,1.13522
97.4377,92.2203,117.259,77.5482,100.055,-0.140524,101.045,-0.571627,-1,11,96.2902,-0.536886,110.504,-3.11719,-1,13,30.5594,-0.68769,38.0748,1.40966,1,11,1.17643
99.8146,98.8841,86.2543,94.2669,71.5539,0.404411,77.4854,-0.979497,1,13,33.3157,1.61877,87.3711,0.993213,-1,11,30.3932,2.21847,141.36,-1.51782,-1,13,1.13555
89.967,41.2968,53.155,67.2444,62.9011,-0.975712,95.2946,-0.891844,-1,11,57.3201,1.91253,198.267,-1.77063,1,11,21.6963,0.322718,22.8359,2.32433,1,11,1.10761
92.5025,88.442,116.37,101.355,95.5764,-0.927167,139.686,-0.651506,1,11,35.4323,-2.03964,138.503,-2.91358,-1,11,26.3677,-1.6827,73.3805,1.32908,-1,11,0.801063
81.7503,76.0544,55.801,86.5744,61.4528,2.38439,336.289,-2.24699,-1,11,57.9094,-0.180111,58.8513,-0.0251375,1,13,22.2241,1.69859,62.774,-0.744108,-1,13,0.483429
82.1314,80.0611,111.064,115.233,114.043,0.89095,162.38,-1.44134,1,13,72.0033,-0.932341,105.632,1.28217,-1,13,27.0875,0.296717,28.2889,-0.162272,1,13,0.373158
85.8726,136.451,63.7841,44.6299,106.085,-0.814878,143.299,2.56084,-1,13,53.5579,-1.11254,90.2667,1.39687,1,13,25.0526,-0.43267,27.4344,-0.877455,1,11,1.11101
