mLL,ptLL,etmiss,mtw,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
91.3027,174.91,63.3185,41.5801,113.434,0.530989,129.805,2.32105,-1,11,103.838,1.74205,305.503,-0.337969,-1,11,83.22,0.36627,88.8648,-3.00035,1,11,2429.19
84.6238,62.6082,49.3692,63.8999,61.5603,0.739228,79.1604,-2.28582,-1,11,27.0889,-0.557959,31.4161,-0.53301,1,11,26.147,0.07763,26.2258,1.64536,1,11,1221.87
87.0421,43.0521,34.5289,35.1637,58.8647,1.08275,96.8749,-2.97395,-1,11,24.3061,0.271147,25.2053,1.23964,1,13,21.1742,-0.349237,22.4786,-0.430579,1,11,2120.67
86.3561,18.2884,30.1994,50.5438,51.877,2.05779,206.377,1.62491,-1,11,35.4998,1.76672,106.899,-1.32674,1,11,21.213,1.21125,38.7723,-1.56124,-1,13,2258.16
90.6865,27.5803,48.6322,62.6648,42.2776,-0.536065,48.4991,-2.22626,-1,11,35.5563,0.765414,46.4903,0.210954,1,11,20.9419,1.19899,37.8868,2.42668,1,13,2239.59
89.1586,286.026,46.5935,130.925,248.138,0.515042,281.784,2.0144,1,11,94.9596,-0.662278,116.557,-1.26505,-1,11,51.4588,0.503458,58.1193,2.82538,-1,11,1698.6
91.6022,106.435,41.0812,83.0025,97.2583,-1.71096,277.913,2.68424,-1,11,83.3612,-1.63814,222.572,0.173152,1,11,43.1656,-1.72279,124.721,-2.02887,1,11,999.324
88.3946,30.3108,70.1585,84.2776,51.9596,0.287634,54.1238,-1.3963,-1,11,41.3219,0.167694,41.9043,2.36784,1,11,25.9063,2.14602,112.274,0.0872111,-1,11,2126.18
91.7478,30.5313,45.641,54.6965,62.2059,-1.81699,196.441,1.57092,-1,11,32.2996,-1.36445,67.3303,-1.7079,1,11,29.9397,-0.39877,32.3519,-0.785351,1,11,1945.09
85.1798,79.6322,62.2051,91.9621,43.7367,-1.83565,140.585,0.259933,-1,11,40.2658,0.769566,52.7894,1.06067,1,11,38.8485,-0.0749669,38.9577,0.79734,1,11,1059.73
92.2234,135.172,43.2796,65.3333,107.249,0.100852,107.795,1.5556,-1,11,56.3445,0.148692,56.9685,0.286787,1,11,27.2754,0.90324,39.1789,-1.08536,-1,11,2219.61
90.7925,59.3593,38.7556,77.5397,78.7084,-0.854863,109.263,0.896444,-1,11,50.6717,-0.548875,58.498,2.49125,1,11,29.0407,-1.11613,49.0871,-1.55141,1,11,2172.76
85.8773,60.8593,37.6659,34.3454,82.8034,1.12856,141.374,1.84451,1,11,39.0086,0.624207,46.8581,-1.70716,-1,11,22.3894,1.21301,40.9828,-1.1262,-1,11,602.896
