mLL,ptLL,etmiss,mtw,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
94.5219,68.2942,63.8527,46.5969,49.8774,0.992944,76.5531,-2.12799,-1,11,34.2937,0.691552,42.8261,0.15722,1,11,23.3917,-1.19785,42.2784,-2.92592,1,11,0.60666
100.378,40.4433,49.6871,55.866,65.9832,0.927216,96.4383,-2.11157,1,13,29.9662,1.7571,89.4213,0.0556891,-1,11,28.6535,2.07101,115.457,1.38985,-1,13,1.21281
93.2243,99.7341,43.5337,92.8412,92.5173,-0.249744,95.4176,-1.61988,-1,13,59.103,0.795905,78.8321,1.66804,1,11,24.51,1.11755,41.4763,-0.223432,1,13,1.18288
97.9604,29.6866,43.7802,78.9267,36.1105,2.05605,143.413,-1.50882,1,11,35.7079,2.37442,193.498,-0.157063,-1,13,30.1026,0.0449305,30.133,0.719594,-1,11,0
93.2935,54.1479,156.856,30.1197,53.222,0.473596,59.3031,-0.7022,1,11,50.754,-0.0721387,50.8862,-2.7492,-1,11,22.0386,1.55117,54.3139,1.48186,-1,13,1.6323
84.4771,68.7946,74.7624,57.5873,71.1778,-0.655207,87.0105,-0.988881,1,11,69.1932,-0.458869,76.6066,3.11239,-1,11,24.6051,0.516956,27.9667,0.853313,-1,11,0.686021
96.9647,44.5539,61.4498,122.31,74.4567,0.903918,107.003,-3.05274,-1,11,30.196,2.14718,131.013,-0.109097,-1,13,21.7479,-0.571829,25.4017,-1.20523,1,13,0.673289
