mLL,ptLL,etmiss,mtw,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
92.3625,35.4476,31.5416,36.6719,65.3687,0.69424,81.7645,-2.63084,1,13,30.9059,1.19559,55.7548,0.325881,-1,13,22.7071,2.23412,107.238,1.3373,1,13,2069.21
90.2814,17.6503,60.1653,100.379,41.948,2.45302,245.595,-1.38192,-1,13,25.555,1.36208,53.1598,1.59255,1,13,22.5333,-1.17164,39.8519,-0.807495,-1,13,2583.91
88.6932,43.0696,44.5554,33.0536,39.4289,-0.549434,45.5317,-0.0870818,-1,13,23.7751,-2.44516,138.122,-2.17119,1,11,23.4544,1.54403,57.4273,1.61916,1,13,0
95.3461,42.9219,51.7385,46.6832,68.7788,2.23954,326.544,1.72711,1,13,31.4266,1.6077,81.5785,-1.8733,-1,13,21.75,2.00518,82.2375,-1.32244,-1,13,2326.76
90.9735,42.4806,68.0755,54.9835,66.6902,1.60517,172.712,3.07442,1,13,32.5984,1.92374,113.973,0.483325,-1,13,26.0491,0.837055,35.7205,-1.74375,-1,13,2029.35
84.4895,36.9597,31.4575,33.8485,55.3565,-1.06132,89.5721,-0.0495376,1,13,28.1479,-0.106609,28.3082,-2.54632,-1,13,21.0159,-1.36275,43.7437,0.0752876,1,13,1728.31
87.5023,51.371,39.9992,64.0583,52.0398,-0.326911,54.8455,0.306872,1,13,49.4091,-0.288965,51.4865,-1.77392,-1,13,35.6721,-1.36423,74.346,2.33712,-1,13,1033.22
91.8281,17.5302,30.4871,52.356,43.3384,0.148666,43.8183,-2.35416,-1,13,35.8203,1.33936,73.0489,1.19212,1,13,26.8497,0.287803,27.9694,-0.952176,1,11,0
93.6312,72.0788,84.771,60.4667,87.0495,0.202155,88.8343,-0.808483,-1,13,25.2135,-0.565758,29.3576,1.52039,1,13,24.9248,0.173493,25.3009,1.60812,-1,11,1793.57
91.2712,54.3862,36.1963,78.7232,59.9657,-1.39429,128.33,-0.633378,-1,13,48.8927,-0.920926,71.1331,1.91486,-1,11,35.1573,-0.404451,38.0724,-2.66475,1,13,1248.86
91.2507,44.7862,36.0587,67.516,39.842,-0.28389,41.4584,-0.252334,1,13,32.0305,-1.6732,88.3537,2.45322,-1,11,22.7591,1.90903,78.4598,-1.87805,-1,13,0
91.9035,56.8272,34.5045,48.3965,62.646,0.502994,70.7394,1.91097,1,13,39.4093,1.20308,71.5401,-2.32867,-1,13,24.1461,1.74811,71.4463,1.21005,1,13,1374.12
89.5072,36.0222,43.3879,44.114,34.1531,0.925281,49.8465,2.17985,-1,13,21.688,-1.40302,46.7739,0.37803,1,13,20.5827,-0.539492,23.6516,-1.41743,1,13,886.247
89.9378,234.294,32.5478,134.449,151.696,0.628218,182.628,-1.30435,-1,11,138.468,1.53633,336.661,1.54314,-1,13,105.095,1.03996,167.236,2.10208,1,13,2352.63
90.2184,23.8627,40.8506,48.5234,46.8273,2.21422,216.892,-0.0183856,1,13,35.5738,1.18677,63.7072,-2.63853,-1,13,33.3303,0.00676621,33.331,-2.93452,-1,11,1363.26
93.3161,40.7921,41.9855,100.917,66.2244,1.64215,177.476,-2.91743,1,13,61.2706,2.45784,360.428,0.535356,1,11,35.6122,1.66444,97.4347,-0.338396,-1,13,2930.65
87.8608,44.6428,63.7209,52.2012,60.7175,-1.13441,104.159,1.36165,1,13,32.2962,0.0719661,32.38,-2.77934,-1,13,20.8001,0.298306,21.7327,-1.20977,-1,13,1048.55
