mll12,mll13,mll23,ptll12,ptll13,ptll23,met_et,mtw1,mtw2,mtw3,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
98.8961,96.8714,66.6226,58.3462,67.4661,20.4649,52.5598,15.217,82.8522,28.7278,56.2056,0.569781,65.5788,-2.79882,1,13,41.6368,-0.603955,49.4642,1.58994,-1,11,21.3077,-1.57049,53.4497,-1.63067,-1,13,1.14994
169.225,207.02,43.4603,36.7562,70.5985,20.4823,40.3739,92.7347,13.6441,55.9621,60.0675,-1.62521,158.469,1.89751,-1,11,24.59,1.23085,45.6905,-0.993361,1,13,20.5984,1.9409,73.213,3.07353,1,13,1.183
60.5055,87.7868,91.1073,109.635,61.4205,16.6092,44.3774,70.6846,80.7711,28.6449,72.0193,-1.21227,131.745,0.344312,-1,11,47.0051,-1.86912,155.983,1.1634,1,11,32.2242,-0.704126,40.5482,-1.78323,-1,13,1.14313
55.4413,79.3667,75.4229,71.9921,40.1708,30.1256,38.3104,73.3688,26.6878,19.3012,55.5719,-0.820476,75.35,-0.396265,1,11,22.8305,0.393162,24.6178,0.505705,-1,11,21.0465,-2.06086,83.9765,2.13547,-1,13,1.0821
74.5247,93.069,30.3928,66.1101,38.2305,42.2558,78.9236,120.04,87.417,54.2007,47.0883,0.797476,62.8722,-1.88665,-1,11,26.5147,-0.893648,37.8258,-0.935529,1,13,25.4946,-0.97306,38.5474,0.309601,1,13,1.14879
31.9853,56.3964,47.5801,66.5331,51.6102,39.1027,60.337,94.0042,84.9161,66.3412,36.6192,0.39777,39.5545,0.801224,1,11,31.0911,-0.448397,34.2696,1.17597,-1,13,30.1058,-0.67386,37.2038,-0.579627,1,13,0.879786
164.373,101.036,53.9568,135.154,153.37,27.9634,98.7792,246.732,62.8482,56.1552,154.688,-0.217932,158.376,-2.0946,-1,11,39.0902,0.860129,54.4639,1.98113,1,13,21.4055,0.66022,26.2426,-0.392927,1,11,0.573599
64.4863,69.1613,49.0129,91.4933,54.6477,34.625,73.8596,138.22,91.5316,44.5283,66.4916,1.00209,102.766,-3.03714,1,11,29.0101,-0.244899,29.8846,2.61212,-1,13,21.6421,0.964305,32.5089,0.952745,-1,13,0.905898
99.0545,93.1188,90.6388,95.4337,130.275,44.4454,70.2267,166.016,68.5292,93.4416,99.5842,0.164397,100.933,1.41564,-1,11,35.3166,-0.284637,36.7571,-3.00003,1,13,31.107,1.67821,86.208,1.60314,-1,11,1.14478
168.069,182.41,98.2394,115.147,52.0879,57.3495,143.551,31.2398,154.354,133.672,80.7296,-1.03093,127.567,2.39744,-1,11,71.8804,0.565751,83.694,0.962759,1,11,36.8703,1.20302,66.9279,-1.26503,-1,13,0.667957
100.602,32.1853,49.5008,30.0721,68.613,23.4992,170.842,193.053,1.59333,101.476,54.7188,0.0567046,54.8068,-1.61705,-1,11,25.0931,-1.59156,64.1755,1.38512,1,13,20.1091,-0.303634,21.0432,-0.683413,-1,11,0.691052
179.471,76.5377,166.31,75.4322,17.6976,11.6778,113.097,101.425,125.26,63.2515,41.2242,2.22862,193.644,-1.55982,1,11,39.6946,-0.821228,53.8495,-2.30069,-1,13,36.8588,2.00804,139.749,1.13816,-1,13,1.24079
39.6992,65.229,63.3904,61.294,25.4248,12.5925,137.69,67.0226,118.057,85.3779,37.8627,2.02725,146.243,-0.426696,-1,11,34.1672,2.36012,182.567,-1.53432,1,13,30.3227,2.49154,184.403,1.982,1,13,1.20526
73.374,103.108,105.052,112.655,66.1147,10.3407,48.1376,117.887,93.9069,45.3504,72.4008,-0.934023,106.346,-0.907403,-1,13,57.7645,-1.44854,129.734,-1.9642,1,13,47.6535,-1.3444,97.6084,1.13608,-1,13,0.482494
27.2803,104.184,71.9694,92.6661,36.8472,14.7143,54.7401,93.9094,80.2767,21.142,56.5721,-0.00712715,56.5736,-0.782853,-1,11,36.61,-0.559556,42.4926,-0.998448,1,13,27.4226,-1.64206,73.4842,1.77838,1,13,0.576104
85.7754,118.935,125.314,141.213,129.824,56.723,55.1675,16.6996,72.1305,30.0351,103,1.25539,195.399,3.12678,-1,11,61.3741,1.46531,139.93,-2.04142,1,13,37.5261,-0.291827,39.1356,2.23205,1,13,0.889162
92.1832,91.7632,72.1602,4.61889,60.9982,47.6333,32.9915,44.8622,59.6182,3.39974,45.919,-0.183861,46.6973,0.845544,-1,11,42.1127,-0.804654,56.4977,-2.23654,1,13,30.835,-2.01713,117.94,-0.489503,-1,13,0.882961
74.3033,23.5616,63.0041,57.5583,76.6176,25.8264,24.5252,60.056,3.88715,49.6799,53.0266,-2.26224,257.41,-0.85478,1,11,40.9624,-2.2613,198.662,0.990328,-1,11,27.1135,-2.2171,125.936,-1.48488,-1,13,0.648341
84.181,99.1072,57.9157,120.796,134.313,39.562,71.9304,178.945,80.0999,76.8533,113.236,1.26585,216.74,1.95084,-1,11,33.1635,1.01094,51.6035,0.469311,1,13,21.1278,-0.514369,23.9852,2.02659,1,13,1.18849
55.9915,78.7323,47.8106,112.177,60.5237,47.6138,166.331,29.0763,95.8892,117.816,78.0315,0.893519,111.309,0.309736,1,13,45.7784,1.22233,84.4528,-0.59774,-1,13,21.2284,0.968447,31.9863,-2.3127,-1,13,1.28269
142.295,77.8643,42.8279,26.3448,65.898,90.9699,100.312,166.144,47.547,73.9256,69.5085,-1.0325,109.969,1.90565,1,11,66.5894,-1.7406,195.645,-1.62321,-1,13,31.7694,-1.29081,62.1214,-2.46065,-1,13,1.18674
154.421,123.417,185.28,95.9337,33.5861,56.5122,93.2792,113.258,139.109,83.9545,74.636,-0.0943045,74.9681,1.37729,1,11,52.351,-1.91387,181.312,-0.0790924,1,11,43.0419,0.763381,56.2042,-1.96568,-1,11,0.567888
56.9612,62.4253,62.1478,88.9571,59.4726,14.6065,113.688,149.424,122.089,11.0532,63.5048,-1.13794,109.254,-2.87373,-1,13,32.9688,-0.229313,33.8395,2.56903,-1,11,22.3655,-1.34336,45.7695,-0.944663,1,13,0.531658
625.449,521.905,97.0734,97.991,138.754,170.172,87.307,225.792,61.6942,51.6436,146.606,-1.74766,433.612,-0.826697,-1,13,144.046,1.08079,236.69,3.00244,1,13,29.3043,2.39013,161.269,-2.76653,-1,13,0.894025
66.1712,52.1297,36.1195,85.5819,93.4952,46.3589,58.9388,26.4592,68.0461,19.6401,71.444,0.943653,105.686,3.01952,-1,13,33.3981,0.404343,36.1657,-1.92644,1,11,22.2148,-0.279722,23.0898,-3.12462,1,13,1.17827
79.3751,95.738,77.5425,44.3063,53.5991,34.3476,23.2336,40.4248,57.1856,20.6825,54.9696,-0.426904,60.0553,0.336289,1,13,35.8293,-0.525064,40.8828,-1.87134,-1,11,35.4399,-1.73918,103.987,2.27594,-1,11,0.63547
122.753,94.5092,11.6261,49.6517,63.5671,68.8652,60.6336,103.534,83.2697,73.957,82.2932,-0.73761,105.713,-0.827175,1,11,41.0103,0.071026,41.1139,2.79386,-1,13,28.2993,-0.180365,28.7609,3.02441,-1,11,0.559021
65.621,86.2742,54.6271,64.1731,35.1145,52.0145,94.3673,138.661,62.1119,0.0271845,53.428,0.461252,59.2131,2.66168,1,13,38.348,0.434894,42.0321,-2.00018,-1,13,21.5229,-1.02812,33.9361,-0.915847,-1,11,0.567103
127.185,35.7159,76.3571,94.2663,71.9682,61.8936,34.2814,29.4642,49.6159,40.497,59.5725,-2.28589,295.958,-1.48704,-1,11,41.7913,-0.230268,42.9043,-2.25239,1,13,20.7111,-2.37402,112.188,-2.54926,-1,11,0.525026
63.9398,57.2134,102.707,66.4449,75.997,43.6314,46.5586,44.2844,5.40391,35.271,49.9102,-1.00321,77.2038,1.75224,1,11,26.8989,0.296045,28.0865,2.85957,-1,13,26.1807,-2.45233,153.177,1.64768,1,13,0.172828
61.8863,71.0352,102.585,67.2052,22.5638,15.1902,29.1168,66.8515,46.1122,17.6703,42.3911,-0.391967,45.6896,-2.8085,1,13,28.4657,-1.90392,97.6538,-2.15031,-1,11,20.108,0.90587,28.9382,0.454688,1,11,0.884995
45.2628,59.4879,96.4782,93.0825,91.8587,88.8425,82.3415,11.0752,27.5551,9.64726,50.5587,0.567979,58.9354,1.25621,-1,11,47.1426,1.25431,89.3518,0.638396,1,13,42.5936,-0.601953,50.5463,0.921269,1,11,1.15299
79.5341,139.305,79.0777,9.16355,59.9158,3.34158,27.2705,60.0634,1.13503,54.0372,33.5003,-1.88269,112.617,0.541752,1,13,29.8224,-0.456741,32.9876,-2.33352,-1,13,26.7695,1.27642,51.7029,0.759986,-1,11,0
75.6075,33.0823,63.9773,28.5678,51.7279,12.0624,173.545,128.773,35.1279,126.837,38.0486,-0.138588,38.4147,2.49435,-1,13,31.0734,1.01469,48.4904,-1.47648,-1,13,23.2871,-0.234353,23.9295,1.32093,1,11,1.06108
82.2366,79.2124,74.2251,48.9274,71.5345,20.0327,172.313,171.938,37.8006,128.317,65.9159,-0.36308,70.3086,0.90917,1,11,25.5308,-1.03722,40.5406,-2.91915,-1,13,24.2619,0.96486,36.4592,-0.604179,-1,13,0.681013
93.446,87.7061,61.5287,51.9858,41.5835,33.769,20.5877,11.1454,42.6639,40.5727,47.0851,0.0226976,47.0972,-3.03835,-1,11,44.1885,1.17863,78.6033,1.31373,1,13,22.8416,1.82248,72.5086,-0.979008,1,11,1.07435
92.2941,59.612,84.2619,72.0208,83.4261,38.9999,77.8134,6.62034,61.139,40.2811,70.2309,-0.0550144,70.3372,1.10788,-1,13,20.8717,1.65083,56.387,-0.524697,1,13,20.3596,-1.25236,38.5247,0.136356,1,13,0.555842
84.712,30.6442,74.6248,22.7643,39.4738,39.5772,75.9914,90.0725,51.5018,73.4122,27.9982,-1.31352,55.8301,2.78566,-1,11,22.4014,1.00089,34.5907,0.556466,1,13,21.6771,-1.53386,52.5858,1.46833,1,13,0.794154
146.254,50.3854,65.2213,69.6533,117.656,32.636,51.2565,90.1791,67.6817,66.8319,102.662,-2.18094,460.314,0.125561,1,11,33.3487,-0.79156,44.3533,-2.89846,-1,11,25.3281,-2.17008,112.37,-0.907853,1,11,0.611658
